spX;spY;spX_el;spY_el;n_blocks;mean_blocks_length;mean_blocks_identity
alb;atr;e1;e4;163;231,104294478528;0,739938650306748
alb;atr;e2;e4;3;347,333333333333;0,743333333333333
alb;atr;e2;e5;3;263;0,753333333333333
alb;atr;e3;e4;8;258,875;0,73625
alb;gam;e2;e4;50;344,16;0,7616
alb;gam;e3;e1;13;226,769230769231;0,709230769230769
alb;gam;e3;e2;1;213;0,73
alb;gam;e3;e5;9;252;0,738888888888889
alb;gam;e4;e3;6;234;0,725
alb;gam;e4;e5;9;279,777777777778;0,735555555555556
atr;gam;e1;e2;2;311,5;0,83
atr;gam;e1;e4;1;315;0,72
atr;gam;e2;e3;1;423;0,7
atr;gam;e2;e4;16;324,9375;0,80375
atr;gam;e2;e5;6;423,5;0,741666666666667
atr;gam;e3;e5;2;524,5;0,72
atr;gam;e4;e1;312;271,727564102564;0,743846153846154
atr;gam;e4;e2;12;230,333333333333;0,783333333333333
atr;gam;e5;e1;257;226,264591439689;0,775214007782101
atr;gam;e5;e2;14;265,428571428571;0,807857142857143
atr;gam;e5;e3;4;370,75;0,735
atr;gam;e5;e4;136;234,970588235294;0,80875
